Account	Hardfork Balance	Current Balance
0x04c973aff06f64b880524f16ae8c821928233ee5	925633.82	0
0x49c404e036b69a94ae4815d7ecafa482a5d94833	775821.8173	0
0x198ef1ec325a96cc354c7266a038be8b5c558f67	725248.0291	0
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13	659183.1041	0
0x33d9b12b3b05927a1a00d5896017c5ff4967fca9	388888	0
0x715a70a7c7d76acc8d5874862e381c1940c19cce	360000.01	0
0xbb8117aad15b66055f4287853ee6a0a10bb31cfc	300000	0
0xc207b597e1c0b1dc6d2d8ccbfde0a47633d8c9b7	288888	0
0xe10c540088113fa6ec00b4b2c8824f8796e96ec4	204461.3687	0
0x437631e209736187b21090c0269e7a5f443811c3	202591.864	0
0xe778ac41005bbb1cb79b6dfe410714ce08143594	188888	0
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98	116597.5457	0
0x512b91bbfaa9e581ef683fc90d9db22a8f49f48b	100000	0
0xfc361105dd90f9ede566499d69e9130395f12ac8	100000	0
0x49bcf6905a787eed36f842c262b15ec8929f31ae	99997	0
0x60e16961ad6138d2fb3e556fc284d9c2fff41486	84841.68931	0
0x88bbf6f5ba896262d80dbbe3597d09c817fd1475	82000	0
0x961914a2f166f2e2e4ecdc691b4a9272588a8aee	80317.97222	58754.2106
0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb	75571.61775	0
0xb1179589e19db9d41557bbec1cb24ccc2dec1c7f	75000	0
0x485fbe8fce05a862832ddc9464e96be131544c45	74866.16531	0
0x345a198eb431776f0383605c838fd237b617868c	68523	0
0x6c57430aac511421c811871fe5375874d0d2742a	64772.5	47382.3853
0x45a59b9d4487799f6a04a7fe35ae68c52ac1233e	55364.89	0
0x5c4973d33fb982000fad5765b684d22b298b97aa	55033	0
0x0c2808b951ed9e872d7b32790fcc5994ae41ffdc	51000	0
0x5816c2687777b6d7d2a2432d59a41fa059e3a406	50001	0
0x2f6a471f7f90b0c0c1e99d376a79626e4c1a8256	50000	0
0x17ef4acc1bf147e326749d10e677dcffd76f9e06	39950	0
0xba4eca09a095722baeb8b12333e2237c78102b9d	39002.001	28530.74745
0xca8e11c876180c9f2115fa61fe2a1a3a6f66ebaf	38383.8	0
0xae3c6cf93addbdd326dbd2df98e76907108c1067	36898.41	26991.92836
0x2063700c6e019a814d24f514ec6512711c399826	36779	0
0xfec1ddff4c93268f25d7cb3575e8f8e6606e3ef3	36599.99652	0
0xe8f985eacffe203a6c3e3c213f14c45513bbc1e7	35753.21511	0
0x0934067db728709e3a6de482a3f52318109fad32	35380.52845	0
0x00eb925836b163a4e5608e3bbd891a7cfab6bde9	35196.9	0
0xf6b1e9dc460d4d62cc22ec5f987d726929c0f9f0	34260	0
0x5da9e94410a1241a76dfd182777e5983ae4f7a15	33684.5	0
0x167a9333bf582556f35bd4d16a7e80e191aa6476	32147.32122	0
0xdd7fc0f4d2b30fb169ae843bfcca8e0c8b62b4d7	31423.7	22987.06798
0xec11362cec810985d0ebbd7b73451444985b369f	30308.0864	0
0x4739928c37159f55689981b10524a62397a65d77	30241.95222	3851.250083
0x7de1493e077eb4d177bb244a0939a14e5867f8b4	30112.76119	22028.08991
0xd64a2d50f8858537188a24e0f50df1681ab07ed7	30000	21945.60283
0xd7ec76f7f8f8397b1ca486431adf1e0ab454307a	27354.94852	20010.69452
0x81c636277383b06b9cc3983089c86441deedfab5	27055.05453	0
0xc0f5228127fe170c6c26e46a1462a86403fd726c	26012.60158	0
0x8975dbc1b8f25ec994815626d070899dda896511	25781.92776	0
0xc68e11790ed180258a604468fc4678064114a748	24447.4525	3113.332525
0x3003208e77edf3b088b122b5de3a6fc8c8ef679d	24250.709	17739.88093
0x9afd49c8ad6f00ba70ff1eb4f31a752a10e7adb4	24000	0
0x2784903f1d7c1b5cd901f8875d14a79b3cbe2a56	23390.56293	0
0xd0d7d573821b5865f1882cc0b7581c56a487ff57	22421.64286	0
0x9c111b1b7f28df48b0f6802aa34298922c88c470	22220.5	0
0xb89f4632df5909e58b2a9964f74feb9a3b01e0c5	21400	0
0xae10e27a014f0d306baf266d4897c89aeee2e974	21309.86534	2713.767288
0x7d19567759f25f65a820aaf297e299d6720d8df8	20840.00048	0
0xe95173abc462f2d13803140b4dea4cad61eccd47	20750	0
0xf845026d99b12de7b1d662b2f9b810f04a2fa1dd	20012	0
0xe968cb7ee4bdb9c82dddc8bcb6e377758bdd7612	20000.52862	14630.78858
0x8beb06406eda4887b3a62bbc3d3243fc5af9860c	20000	0
0xb98184e67da7b31ed899c73de4bab8ab3a7a2c15	20000	14630.40188
0xc2975b244195b1a5b2b7ae982e12b9bc32daa0b3	20000	14630.40188
0x7d319a4b48aa12ad04604a4f0d3792b9574feaad	20000	0
0x8933491760c8f0b4df8caac78ed835caee21046d	19999.9	14630.32873
0x94c742fd7a8b7906b3bfe4f8904fc0be5c768033	19994.99118	2546.320783
