Block	Timestamp	Date	Balance
1920000	1469020839	20/07/2016	0
1925760	1469203109	22/07/2016	0
1931520	1469294061	23/07/2016	0
1937280	1469356939	24/07/2016	0
1943040	1469411690	25/07/2016	0
1948800	1469500605	26/07/2016	0
1954560	1469562083	26/07/2016	0
1960320	1469641377	27/07/2016	0
1966080	1469729123	28/07/2016	0
1971840	1469810385	29/07/2016	0
1977600	1469892567	30/07/2016	0
1983360	1469975566	31/07/2016	0
1989120	1470052335	1/08/2016	0
1994880	1470128464	2/08/2016	0
2000640	1470205785	3/08/2016	0
2006400	1470290518	4/08/2016	0
2012160	1470376581	5/08/2016	0
2017920	1470458793	6/08/2016	0
2023680	1470537897	7/08/2016	0
2029440	1470622959	8/08/2016	0
2035200	1470704505	9/08/2016	0
2040960	1470792075	10/08/2016	0
2046720	1470875296	11/08/2016	0
2052480	1470954939	11/08/2016	0
2058240	1471036762	12/08/2016	0
2064000	1471119988	13/08/2016	0
2069760	1471202009	14/08/2016	0
2075520	1471284157	15/08/2016	0
2081280	1471367524	16/08/2016	0
2087040	1471450607	17/08/2016	0
2092800	1471533971	18/08/2016	0
2098560	1471616889	19/08/2016	0
2104320	1471699446	20/08/2016	0
2110080	1471780348	21/08/2016	0
2115840	1471863136	22/08/2016	0
2121600	1471946469	23/08/2016	0
2127360	1472029355	24/08/2016	0
2133120	1472114253	25/08/2016	0
2138880	1472197758	26/08/2016	0
2144640	1472279260	27/08/2016	0
2150400	1472362131	28/08/2016	0
2156160	1472445723	29/08/2016	0
2161920	1472528892	30/08/2016	0
2167680	1472612323	31/08/2016	2300811.654
2173440	1472695974	1/09/2016	2219981.735
2179200	1472776550	2/09/2016	2946831.546
2184960	1472858574	2/09/2016	2873967.905
2190720	1472942875	3/09/2016	2815840.768
2196480	1473023906	4/09/2016	2704888.317
2202240	1473104498	5/09/2016	2686682.951
2208000	1473186337	6/09/2016	2673211.378
2213760	1473268718	7/09/2016	3768390.682
2219520	1473350933	8/09/2016	3344594.777
2225280	1473434355	9/09/2016	3266423.098
2231040	1473516740	10/09/2016	3207479.167
2236800	1473600379	11/09/2016	3197087.019
2242560	1473684122	12/09/2016	3146478.531
2248320	1473767090	13/09/2016	3120517.692
2254080	1473849698	14/09/2016	3102571.99
2259840	1473932418	15/09/2016	3096227.182
2265600	1474015497	16/09/2016	3074659.975
2271360	1474097643	17/09/2016	2997031.187
2277120	1474179913	18/09/2016	2990560.106
2282880	1474260361	19/09/2016	2987846.719
2288640	1474347086	20/09/2016	2872789.158
2294400	1474430630	21/09/2016	2863239.756
2300160	1474512490	22/09/2016	2859101.939
2305920	1474592767	23/09/2016	2852131.454
2311680	1474676072	24/09/2016	2848585.246
2317440	1474760588	24/09/2016	2846605.932
2323200	1474841246	25/09/2016	2840651.492
2328960	1474923105	26/09/2016	2835696.952
2334720	1475008026	27/09/2016	2833219.263
2340480	1475088720	28/09/2016	2818009.897
2346240	1475169851	29/09/2016	2799702.062
2352000	1475253145	30/09/2016	2727849.183
2357760	1475335534	1/10/2016	2712708.158
2363520	1475418419	2/10/2016	2710033.089
2369280	1475501314	3/10/2016	2706603.273
2375040	1475583628	4/10/2016	2705139.092
2380800	1475666509	5/10/2016	2694396.88
2386560	1475747085	6/10/2016	2689309.492
2392320	1475829552	7/10/2016	2682610.083
2398080	1475913268	8/10/2016	2675808.602
2403840	1475994131	9/10/2016	2673225.921
2409600	1476075021	10/10/2016	2623090.177
2415360	1476157407	11/10/2016	2559823.603
2421120	1476242730	12/10/2016	2554512.007
2426880	1476327614	13/10/2016	2553078.914
2432640	1476408136	14/10/2016	2523961.251
2438400	1476491777	15/10/2016	2506953.678
2444160	1476572235	15/10/2016	2496927.2
2449920	1476653962	16/10/2016	2494392.378
2455680	1476735807	17/10/2016	2483047.314
2461440	1476820487	18/10/2016	2479687.799
2467200	1476905844	19/10/2016	2476385.634
2472960	1476984653	20/10/2016	2472893.049
2478720	1477066026	21/10/2016	2463988.817
2484480	1477148022	22/10/2016	2462690.423
2490240	1477230425	23/10/2016	2462492.425
2496000	1477312107	24/10/2016	2462074.821
2501760	1477394240	25/10/2016	2461751.309
2507520	1477474710	26/10/2016	2461483.632
2513280	1477555616	27/10/2016	2461483.632
2519040	1477638554	28/10/2016	2460991.486
2524800	1477723332	29/10/2016	2456459.825
2530560	1477808912	30/10/2016	2455398.452
2536320	1477890008	31/10/2016	2454308.978
2542080	1477972868	1/11/2016	2449413.565
2547840	1478059466	2/11/2016	2448914.875
2553600	1478143328	3/11/2016	2441677.035
2559360	1478227501	4/11/2016	2441382.719
2565120	1478310998	5/11/2016	2441382.719
2570880	1478389656	5/11/2016	2441051.677
2576640	1478472157	6/11/2016	2438873.053
2582400	1478551405	7/11/2016	2434213.761
2588160	1478631626	8/11/2016	2434030.881
2593920	1478714542	9/11/2016	2433369.672
2599680	1478796282	10/11/2016	2429702.603
2605440	1478876944	11/11/2016	2423759.354
2611200	1478955441	12/11/2016	2423654.015
2616960	1479032031	13/11/2016	2419909.067
2622720	1479104724	14/11/2016	2417409.706
2628480	1479177838	15/11/2016	2417375.694
2634240	1479249152	15/11/2016	2417375.694
2640000	1479327984	16/11/2016	2416630.937
2645760	1479408784	17/11/2016	2416404.57
2651520	1479489204	18/11/2016	2414669.81
2657280	1479564693	19/11/2016	2414352.081
2663040	1479639609	20/11/2016	2397649.998
2668800	1479722643	21/11/2016	2397569.436
2674560	1479805537	22/11/2016	2397307.253
2680320	1479885984	23/11/2016	2396939.513
2686080	1479969786	24/11/2016	2396695.332
2691840	1480051829	25/11/2016	2396691.058
2697600	1480131691	26/11/2016	2396613.049
2703360	1480214328	27/11/2016	2396090.118
2709120	1480295716	28/11/2016	2396090.118
2714880	1480376203	28/11/2016	2392537.11
2720640	1480456694	29/11/2016	2391635.512
2726400	1480538600	30/11/2016	2389176.467
2732160	1480619275	1/12/2016	2389105.303
2737920	1480698835	2/12/2016	2388207.236
2743680	1480778729	3/12/2016	2386213.547
2749440	1480859159	4/12/2016	2386173.815
2755200	1480939367	5/12/2016	2385244.346
2760960	1481016458	6/12/2016	2382090.214
2766720	1481099202	7/12/2016	2366148.197
2772480	1481181044	8/12/2016	2365632.386
2778240	1481261747	9/12/2016	2365538.428
2784000	1481341520	10/12/2016	2365499.411
2789760	1481418894	11/12/2016	2365493.784
2795520	1481496889	11/12/2016	2365405.075
2801280	1481577942	12/12/2016	2360854.841
2807040	1481657410	13/12/2016	2360844.037
2812800	1481737369	14/12/2016	2360734.064
2818560	1481813704	15/12/2016	2350205.489
2824320	1481891348	16/12/2016	2349993.652
2830080	1481970492	17/12/2016	2349462.079
2835840	1482050900	18/12/2016	2349006.091
2841600	1482128226	19/12/2016	2345027.023
2847360	1482205712	20/12/2016	2287159.048
2853120	1482286002	21/12/2016	2283257.485
2858880	1482367493	22/12/2016	2282169.734
2864640	1482449092	22/12/2016	2281557.508
2870400	1482531327	23/12/2016	2280005.638
2876160	1482610687	24/12/2016	2280005.638
2881920	1482691242	25/12/2016	2279998.322
2887680	1482771147	26/12/2016	2279995.908
2893440	1482851560	27/12/2016	2279877.231
2899200	1482932514	28/12/2016	2279763.316
2904960	1483011953	29/12/2016	2278384.441
2910720	1483088281	30/12/2016	2277909.761
2916480	1483168106	31/12/2016	2277237.113
2922240	1483249173	1/01/2017	2277191.983
2928000	1483329753	2/01/2017	2273142.621
2933760	1483408910	3/01/2017	2268096.247
2939520	1483490697	4/01/2017	2267870.208
2945280	1483568444	4/01/2017	2266888.524
2951040	1483648069	5/01/2017	2226562.27
2956800	1483729027	6/01/2017	2224679.512
2962560	1483809442	7/01/2017	2224588.243
2968320	1483890509	8/01/2017	2223875.251
2974080	1483971449	9/01/2017	2223578.349
2979840	1484051688	10/01/2017	2223352.039
2985600	1484133360	11/01/2017	2142041.082
2991360	1484215846	12/01/2017	2141792.189
2997120	1484296895	13/01/2017	2131887.407
3002880	1484377608	14/01/2017	2130882.229
3008640	1484460543	15/01/2017	2128321.909
3014400	1484541874	16/01/2017	2128245.824
3020160	1484623897	17/01/2017	2128143.37
3025920	1484706697	18/01/2017	2128082.268
3031680	1484789058	19/01/2017	2073008.176
3037440	1484870344	19/01/2017	2072868.699
3043200	1484950747	20/01/2017	2070019.68
3048960	1485031637	21/01/2017	2069983.104
3054720	1485113201	22/01/2017	2069971.968
3060480	1485194698	23/01/2017	2067374.784
3066240	1485275812	24/01/2017	2062228.839
3072000	1485357333	25/01/2017	2061888.194
3077760	1485438373	26/01/2017	2061859.888
3083520	1485520154	27/01/2017	2061643.537
3089280	1485605543	28/01/2017	2061161.354
3095040	1485689424	29/01/2017	2048343.355
3100800	1485773268	30/01/2017	2047581.879
3106560	1485856988	31/01/2017	2046010.865
3112320	1485941224	1/02/2017	2037352.77
3118080	1486024512	2/02/2017	2037264.877
3123840	1486109191	3/02/2017	2037264.877
3129600	1486192593	4/02/2017	2037242.931
3135360	1486275298	5/02/2017	2037240.063
3141120	1486358078	6/02/2017	2028630.972
3146880	1486440871	7/02/2017	2026367.321
3152640	1486523502	8/02/2017	2026111.283
3158400	1486606610	9/02/2017	2025265.114
3164160	1486691045	10/02/2017	2025099.142
3169920	1486774102	11/02/2017	2025099.142
3175680	1486856736	11/02/2017	2025099.142
3181440	1486939900	12/02/2017	2023927.978
3187200	1487022254	13/02/2017	2023755.745
3192960	1487106040	14/02/2017	2023705.295
3198720	1487188171	15/02/2017	2023485.839
3204480	1487270269	16/02/2017	2023339.535
3210240	1487353362	17/02/2017	2023238.675
3216000	1487436503	18/02/2017	2023228.324
3221760	1487518040	19/02/2017	2022270.033
3227520	1487600630	20/02/2017	2022221.96
3233280	1487682709	21/02/2017	2022221.96
3239040	1487764650	22/02/2017	2020809.94
3244800	1487846153	23/02/2017	2020303.364
3250560	1487928547	24/02/2017	2020266.912
3256320	1488010785	25/02/2017	2020248.775
3262080	1488092793	26/02/2017	2018862.068
3267840	1488174877	27/02/2017	2018298.339
3273600	1488259121	28/02/2017	2017822.684
3279360	1488340939	1/03/2017	2012322.392
3285120	1488422948	2/03/2017	2012322.392
3290880	1488506589	3/03/2017	2009396.312
3296640	1488588102	4/03/2017	2009220.016
3302400	1488668932	4/03/2017	2009017.629
3308160	1488751078	5/03/2017	2008408.153
3313920	1488833311	6/03/2017	2008330.749
3319680	1488915598	7/03/2017	2007586.457
3325440	1488994462	8/03/2017	2007586.457
3331200	1489078307	9/03/2017	2007252.612
3336960	1489160292	10/03/2017	2007252.612
3342720	1489243668	11/03/2017	2006547.683
3348480	1489324524	12/03/2017	2004722.665
3354240	1489408030	13/03/2017	2004136.982
3360000	1489493832	14/03/2017	2003843.748
3365760	1489578629	15/03/2017	2003312.43
3371520	1489664299	16/03/2017	2002096.635
3377280	1489753441	17/03/2017	2000364.905
3383040	1489838335	18/03/2017	2000091.151
3388800	1489923011	19/03/2017	2000091.151
3394560	1490008920	20/03/2017	1999696.705
3400320	1490094016	21/03/2017	1998697.031
3406080	1490172297	22/03/2017	1996404.448
3411840	1490260144	23/03/2017	1995752.38
3417600	1490344142	24/03/2017	1990860.153
3423360	1490430364	25/03/2017	1984458.019
3429120	1490516748	26/03/2017	1972473.636
3434880	1490601216	27/03/2017	1971888.486
3440640	1490686847	28/03/2017	1970852.104
3446400	1490771841	29/03/2017	1962880.418
3452160	1490856289	30/03/2017	1962839.061
3457920	1490937435	31/03/2017	1955434.498
3463680	1491019290	1/04/2017	1805406.443
3469440	1491104451	2/04/2017	1804913.665
3475200	1491188234	3/04/2017	1731323.48
